Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
Biomolecular Interaction Network Database (BIND)	database of biomolecular interactions	biomolecular interactions from low-throughput or high-throughput studies	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	notspecified	notspecified	http://bond.unleashedinformatics.com/	http://download.baderlab.org/BINDTranslation/release1_0/PSIMI25_MITAB/taxid9606_PSIMI25.tsv;http://download.baderlab.org/BINDTranslation/release1_0/BINDTranslation_v1_mitab_TopSpecies.tar.gz	http://download.baderlab.org/BINDTranslation/BIND_PSIMI25_README.txt	notspecified	21233089	Isserlin, R., El-Badrawi, R. A. and G. D. Bader. (2011) The Biomolecular Interaction Network Database in PSI-MI 2.5. Database. 2011:baq037.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
TRANSFAC	database of transcription factors, binding sites, and target genes	transcription factor-target gene interactions manually curated from low-throughput or high-throughput transcription factor functional studies	gene-transcription factor associations from low-throughput or high-throughput transcription factor functional studies	transcription factor	gene	notspecified	notspecified	http://www.gene-regulation.com/	notspecified	notspecified	notspecified	16381825	Matys, V., Kel-Margoulis, O. V., Fricke, E., Liebich, I., Land, S., Barre-Dirrie, A., Reuter, I., Chekmenev, D., Krull, M., Hornischer, K., Voss, N., Stegmaier, P., Lewicki-Potapov, B., Saxel, H., Kel, A. E. and E. Wingender. (2006) TRANSFAC and its module TRANSCompel: transcriptional gene regulation in eukaryotes. Nucleic Acids Res. 34:D108-D110.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Recon X	network model of human metabolism	biomolecular interactions from network reconstruction	gene-gene associations from reconstructed metabolic network	gene	gene	notspecified	notspecified	http://humanmetabolism.org/	http://humanmetabolism.org/wp-content/uploads/2013/08/Recon2.v03.mat_.zip	http://humanmetabolism.org/?page_id=75	notspecified	23455439	Thiele, I., Swainston, N., Fleming, R. M., Hoppe, A., Sahoo, S., Aurich, M. K., Haraldsdottir, H., Mo, M. L., Rolfsson, O., Stobbe, M. D., Thorleifsson, S. G., Agren, R., Bolling, C., Bordel, S., Chavali, A. K., Dobson, P., Dunn, W. B., Endler, L., Hala, D., Hucka, M., Hull, D., Jameson, D., Jamshidi, N., Jonsson, J. J., Juty, N., Keating, S., Nookaew, I., Le Novere, N., Malys, N., Mazein, A., Papin, J. A., Price, N. D., Selkov, E. Sr., Sigurdsson, M. I., Simeonidis, E., Sonnenschein, N., Smallbone, K., Sorokin, A., van Beek, J. H., Weichart, D., Goryanin, I., Nielsen, J., Westerhoff, H. V., Kell, D. B., Mendes, P. and B. O. Palsson. (2013) A community-driven global reconstruction of human metabolism. Nat Biotechnol. 31:419-425.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Kyoto Encyclopedia of Genes and Genomes (KEGG)	database of curated pathways	biomolecular interactions by pathway	gene-gene associations from curated pathways	gene	gene	notspecified	notspecified	http://www.genome.jp/kegg/	no longer available for free	no longer available for free	notspecified	24214961	Kanehisa, M., Goto, S., Sato, Y., Kawashima, M., Furumichi, M. and M. Tanabe. (2014) Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research. 42:D199-205.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Pathways	A gene-set library with biological pathways labeling sets of genes involved in the pathways, created by the Ma'ayan Lab using pathway data from many source databases: Biocarta, HumanCyc, KEGG, NCI-Nature, Panther, Reactome, and Wikipathways.	proteins participating in pathways aggregated from the following curated pathway databases: Biocarta, HumanCyc, KEGG, NCI-Nature, Panther, Reactome, and Wikipathways	gene-pathway associations from curated pathways	pathway	functional phrase	10688	3173	see notes	see notes	see notes	notspecified	see notes	see notes	pathways collected from the individual pathway databases also described in this document	combinedpathways	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Reactome	database of curated pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	7535	1638	http://www.reactome.org	http://www.reactome.org/download/current/ReactomePathways.gmt.zip	http://www.reactome.org/pages/download-data/	20141217	24243840	Croft, D., Mundo, A. F., Haw, R., Milacic, M., Weiser, J., Wu, G., Caudy, M., Garapati, P., Gillespie, M., Kamdar, M. R., Jassal, B., Jupe, S., Matthews, L., May, B., Palatnik, S., Rothfels, K., Shamovsky, V., Song, H., Williams, M., Birney, E., Hermjakob, H., Stein, L. and P. D'Eustachio. (2014) The Reactome pathway knowledgebase. Nucleic Acids Research. 42:D472-477.	notspecified	reactome	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
National Cancer Institute-Nature Pathway Interaction Database (NCI-PID)	database of curated pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	2510	223	http://pid.nci.nih.gov/	ftp://ftp1.nci.nih.gov/pub/PID/uniprot/uniprot.tab.gz	http://pid.nci.nih.gov/userguide/output_formats.shtml	20141217	18832364	Schaefer, C. F., Anthony, K., Krupa, S., Buchoff, J., Day, M., Hannay, T. and K. H. Buetow. (2009) PID: the Pathway Interaction Database. Nucleic Acids Res. 37:D674-679.	notspecified	ncinat	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
HumanCyc	database of human metabolic pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	932	286	http://humancyc.org/;http://www.pathwaycommons.org/about/	http://www.pathwaycommons.org/pc2/downloads/Pathway%20Commons.6.HumanCyc.GSEA.gmt.gz	http://www.pathwaycommons.org/pc2/formats	20141217	24225315	Caspi, R., Altman, T., Billington, R., Dreher, K., Foerster, H., Fulcher, C. A., Holland, T. A., Keseler, I. M., Kothari, A., Kubo, A., Krummenacker, M., Latendresse, M., Mueller, L. A., Ong, Q., Paley, S., Subhraveti, P., Weaver, D. S., Weerasinghe, D., Zhang, P. and P. D. Karp. (2014) The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of Pathway/Genome Databases. Nucleic Acids Res. 42:D459-D471.	notspecified	humancyc	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
PANTHER	database of protein families, phylogenetic trees, functions, and pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	1962	145	http://pantherdb.org/;http://www.pathwaycommons.org/about/	http://www.pathwaycommons.org/pc2/downloads/Pathway%20Commons.6.PANTHER%20Pathway.GSEA.gmt.gz	http://www.pathwaycommons.org/pc2/formats	20141217	23193289	Mi, H., Muruganujan, A. and P. D. Thomas. (2013) PANTHER in 2013: modeling the evolution of gene function, and other gene attributes, in the context of phylogenetic trees. Nucleic Acids Res. 41:D377-D386.	notspecified	panther	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Kyoto Encyclopedia of Genes and Genomes (KEGG)	database of curated pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	3947	200	http://www.genome.jp/kegg/	no longer available for free	no longer available for free	20110818	24214961	Kanehisa, M., Goto, S., Sato, Y., Kawashima, M., Furumichi, M. and M. Tanabe. (2014) Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research. 42:D199-205.	notspecified	kegg	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Biocarta	database of curated pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	1397	254	http://www.biocarta.com/genes/index.asp;http://pid.nci.nih.gov/browse_pathways.shtml#biocarta	ftp://ftp1.nci.nih.gov/pub/PID/molList/100231.mol.tab.gz (example)	see notes	20141217	None	None	scrape html at http://pid.nci.nih.gov/browse_pathways.shtml#biocarta to get ID numbers for each pathway, then use the example Data URL template to download individual pathway files	biocarta	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Wikipathways	database of curated pathways	sets of proteins participating in pathways	gene-pathway associations from curated pathways	pathway	functional phrase	6097	427	http://www.wikipathways.org	http://pathvisio.org/data/bots/gmt/wikipathways.gmt	http://www.wikipathways.org/index.php/Download_Pathways	20141217	22096230	Kelder, T., van Iersel, M. P., Hanspers, K., Kutmon, M., Conklin, B. R., Evelo, C. T. and A. R. Pico. (2012) WikiPathways: building research communities on biological pathways. Nucleic Acids Research. 40:D1301-1307.	notspecified	wikipathways	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Ontology (GO) Biological Process (BP)	The Gene Ontology is a gene annotation project.  Genes are annotated with biological terms (molecular functions, cellular components, or biological processes) selected from a structured vocabulary.	curated annotations of genes with biological processes (BP)	gene-biological process (BP) associations from curated gene annotations	biological process (BP)	functional phrase	15717	13212	http://geneontology.org/	http://geneontology.org/gene-associations/gene_association.goa_ref_human.gz;http://purl.obolibrary.org/obo/go/go-basic.obo	http://geneontology.org/gene-associations/readme/goa_ref_human.README	20150331	23161678	Gene Ontology Consortium. (2013) Gene Ontology annotations and resources. Nucleic Acids Research. 41:D530-535.	notspecified	gobp	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Ontology (GO) Molecular Function (MF)	The Gene Ontology is a gene annotation project.  Genes are annotated with biological terms (molecular functions, cellular components, or biological processes) selected from a structured vocabulary.	curated annotations of genes with molecular functions (MF)	gene-molecular function (MF) associations from curated gene annotations	molecular function (MF)	functional phrase	15777	4162	http://geneontology.org/	http://geneontology.org/gene-associations/gene_association.goa_ref_human.gz;http://purl.obolibrary.org/obo/go/go-basic.obo	http://geneontology.org/gene-associations/readme/goa_ref_human.README	20150331	23161678	Gene Ontology Consortium. (2013) Gene Ontology annotations and resources. Nucleic Acids Research. 41:D530-535.	notspecified	gomf	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Ontology (GO) Cellular Component (CC)	The Gene Ontology is a gene annotation project.  Genes are annotated with biological terms (molecular functions, cellular components, or biological processes) selected from a structured vocabulary.	curated annotations of genes with cellular components (CC)	gene-cellular component (CC) associations from curated gene annotations	cellular component (CC)	functional phrase	16757	1547	http://geneontology.org/	http://geneontology.org/gene-associations/gene_association.goa_ref_human.gz;http://purl.obolibrary.org/obo/go/go-basic.obo	http://geneontology.org/gene-associations/readme/goa_ref_human.README	20150331	23161678	Gene Ontology Consortium. (2013) Gene Ontology annotations and resources. Nucleic Acids Research. 41:D530-535.	notspecified	gocc	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Compartments Textmining	COMPARTMENTS is a database of protein subcellular localization evidence, using evidence collected by integrating experimental datasets, by integrating sequence-based predictions, by manual literature curation, or by automated textmining.  Subcellular structure/compartment terms were mapped to the Cellular Component subset of the Gene Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-compartment associations.	gene-cellular compartment co-occurrence scores from text-mining biomedical abstracts	gene-cellular compartment associations from automated text-mining of biomedical literature	cellular compartment	functional phrase	14375	2081	http://compartments.jensenlab.org/Search	http://download.jensenlab.org/human_compartment_textmining_full.tsv	http://compartments.jensenlab.org/About	20150202	24573882	Binder, J. X., Pletscher-Frankild, S., Tsafou, K., Stolte, C., O'Donoghue, S. I., Schneider, R. and L. J. Jensen. (2014) COMPARTMENTS: unification and visualization of protein subcellular localization evidence. Database. 2014:bau012.	notspecified	jensencompartmenttextmining	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Tissues Textmining	TISSUES is a database of protein expression evidence for tissues and cell types, using evidence collected by integrating experimental datasets, by manual literature curation, or by automated textmining.  Tissue and cell type terms were mapped to the BRENDA Tissue Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-tissue/cell type associations.	gene-tissue co-occurrence scores from text-mining biomedical abstracts	gene-tissue associations from automated text-mining of biomedical literature	tissue	tissue or cell line	16184	4187	http://tissues.jensenlab.org/Search	http://download.jensenlab.org/human_tissue_textmining_full.tsv	http://tissues.jensenlab.org/About	20150202	notspecified	Santos, A., Tsafou, K., Stolte, C., Frankild, S., O'Donoghue, S. and L. J. Jensen. (2014) Comprehensive comparison of large-scale tissue expression datasets. Biorxiv Preprint. doi:10.1101/010975.	notspecified	jensentissuetextmining	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Diseases Textmining	DISEASES is a database of evidence for disease-gene associations, using evidence collected by integrating experimental datasets (GWAS), by manual literature curation, or by automated textmining.  Disease terms were mapped to the Disease Ontology.  Data from disparate sources were standardized by assigning confidence scores for all disease-gene associations.	gene-disease co-occurrence scores from text-mining biomedical abstracts	gene-disease associations from automated text-mining of biomedical literature	disease	phenotype	15309	4628	http://diseases.jensenlab.org/Search	http://download.jensenlab.org/human_disease_textmining_full.tsv	http://diseases.jensenlab.org/About	20150202	25484339	Pletscher-Frankild, S., Palleja, A., Tsafou, K., Binder, J. X. and L. J. Jensen. (2015) DISEASES: Text mining and data integration of disease-gene associations. Methods. 74:83-89.	notspecified	jensendiseasetextmining	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
